2016-Oct-04 21:43:35,842 INFO  [MDP_MyCustomisedLogs] XXXXXXXXXXXXXXXXXXXXXXX             Ends Test Case ID Post Code Pop Up             XXXXXXXXXXXXXXXXXXXXXX 
2016-Oct-04 21:43:35,842 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:35,842 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:35,842 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:35,842 INFO  [MDP_MyCustomisedLogs] X 
2016-Oct-04 21:43:36,221 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:36,222 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:36,222 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        verify_ClosePostCodePopUp          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:36,222 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:36,222 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:36,820 INFO  [MDP_MyCustomisedLogs] navigated to http://localhost:3200/ 
2016-Oct-04 21:43:37,685 INFO  [MDP_MyCustomisedLogs] Clicked on Post Code icon on the footer 
2016-Oct-04 21:43:37,793 INFO  [MDP_MyCustomisedLogs] entered post code : 3000 
2016-Oct-04 21:43:37,852 INFO  [MDP_MyCustomisedLogs] Clicked on Cancel button post code pop up > 
2016-Oct-04 21:43:38,629 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:38,629 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:38,629 INFO  [MDP_MyCustomisedLogs] $$$$$$$$$$$     Starts executing Test case ID        verify_PostCodePopupPresence          $$$$$$$$$$$$$ 
2016-Oct-04 21:43:38,629 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:38,629 INFO  [MDP_MyCustomisedLogs] ********************************************************************************** 
2016-Oct-04 21:43:40,192 INFO  [MDP_MyCustomisedLogs] navigated to http://localhost:3200/ 
2016-Oct-04 21:43:40,231 INFO  [MDP_MyCustomisedLogs] Elements are : <    > 
